Accession,n_Methods,Methods,PMIDs
SRR13608962,1,Crespo & Del Sol,23873656
SRR13608963,1,Crespo & Del Sol,23873656
SRR15813414,1,Crespo & Del Sol,23873656
SRR15813415,1,Crespo & Del Sol,23873656
SRR15813416,1,Crespo & Del Sol,23873656
SRR15813417,1,Crespo & Del Sol,23873656
SRR15813418,1,Crespo & Del Sol,23873656
SRR15813419,1,Crespo & Del Sol,23873656
SRR15813420,1,Crespo & Del Sol,23873656
SRR15813421,1,Crespo & Del Sol,23873656
SRR15813422,1,Crespo & Del Sol,23873656
SRR15813423,1,Crespo & Del Sol,23873656
SRR15813424,1,Crespo & Del Sol,23873656
SRR15813425,1,Crespo & Del Sol,23873656
SRR15813426,1,Crespo & Del Sol,23873656
SRR15813427,1,Crespo & Del Sol,23873656
SRR15813428,1,Crespo & Del Sol,23873656
SRR15813429,1,Crespo & Del Sol,23873656
SRR15813430,1,Crespo & Del Sol,23873656
SRR15813431,1,Crespo & Del Sol,23873656
SRR15813432,1,Crespo & Del Sol,23873656
SRR15813433,1,Crespo & Del Sol,23873656
SRR15813434,1,Crespo & Del Sol,23873656
SRR15813435,1,Crespo & Del Sol,23873656
SRR15813436,1,Crespo & Del Sol,23873656
SRR15813437,1,Crespo & Del Sol,23873656
SRR15813438,1,Crespo & Del Sol,23873656
SRR15813439,1,Crespo & Del Sol,23873656
SRR15813440,1,Crespo & Del Sol,23873656
SRR15813441,1,Crespo & Del Sol,23873656
SRR15813442,1,Crespo & Del Sol,23873656
SRR15813443,1,Crespo & Del Sol,23873656
SRR21831570,1,Crespo & Del Sol,23873656
SRR21831571,1,Crespo & Del Sol,23873656
SRR21831572,1,Crespo & Del Sol,23873656
SRR21831573,1,Crespo & Del Sol,23873656
SRR21831574,1,Crespo & Del Sol,23873656
SRR21831575,1,Crespo & Del Sol,23873656
SRR21831576,1,Crespo & Del Sol,23873656
SRR21831577,1,Crespo & Del Sol,23873656
SRR25205031,1,Crespo & Del Sol,23873656
SRR25205032,1,Crespo & Del Sol,23873656
SRR25205033,1,Crespo & Del Sol,23873656
SRR25205034,1,Crespo & Del Sol,23873656
SRR25205035,1,Crespo & Del Sol,23873656
SRR25205036,1,Crespo & Del Sol,23873656
SRR25205037,1,Crespo & Del Sol,23873656
SRR25205038,1,Crespo & Del Sol,23873656
SRR25205039,1,Crespo & Del Sol,23873656
SRR25205040,1,Crespo & Del Sol,23873656
SRR25205041,1,Crespo & Del Sol,23873656
SRR25205042,1,Crespo & Del Sol,23873656
SRR25205043,1,Crespo & Del Sol,23873656
SRR25205044,1,Crespo & Del Sol,23873656
SRR25205045,1,Crespo & Del Sol,23873656
SRR25205046,1,Crespo & Del Sol,23873656
SRR25741678,1,Crespo & Del Sol,23873656
SRR25741679,1,Crespo & Del Sol,23873656
SRR25741680,1,Crespo & Del Sol,23873656
SRR25741681,1,Crespo & Del Sol,23873656
SRR25741682,1,Crespo & Del Sol,23873656
SRR25741683,1,Crespo & Del Sol,23873656
SRR25741727,1,Crespo & Del Sol,23873656
SRR25741729,1,Crespo & Del Sol,23873656
SRR25741731,1,Crespo & Del Sol,23873656
SRR25741733,1,Crespo & Del Sol,23873656
SRR25741735,1,Crespo & Del Sol,23873656
SRR25741737,1,Crespo & Del Sol,23873656
SRR25741739,1,Crespo & Del Sol,23873656
SRR25741741,1,Crespo & Del Sol,23873656
SRR25741743,1,Crespo & Del Sol,23873656
SRR25741745,1,Crespo & Del Sol,23873656
SRR25741747,1,Crespo & Del Sol,23873656
SRR25741749,1,Crespo & Del Sol,23873656
SRR25741781,1,Crespo & Del Sol,23873656
SRR25741782,1,Crespo & Del Sol,23873656
SRR25741783,1,Crespo & Del Sol,23873656
SRR25741784,1,Crespo & Del Sol,23873656
SRR25741785,1,Crespo & Del Sol,23873656
SRR25741786,1,Crespo & Del Sol,23873656
SRR25741787,1,Crespo & Del Sol,23873656
SRR25741788,1,Crespo & Del Sol,23873656
SRR25741789,1,Crespo & Del Sol,23873656
SRR25741790,1,Crespo & Del Sol,23873656
SRR25741791,1,Crespo & Del Sol,23873656
SRR25741792,1,Crespo & Del Sol,23873656
SRR25741793,1,Crespo & Del Sol,23873656
SRR25741794,1,Crespo & Del Sol,23873656
SRR25741795,1,Crespo & Del Sol,23873656
SRR25741796,1,Crespo & Del Sol,23873656
SRR25741797,1,Crespo & Del Sol,23873656
